user_id,recipe_id,recipe_title
1,1634,Ayam saus tiram asem pedes gurih
1,1634,Ayam saus tiram asem pedes gurih
1,3847,Kering Tempe
1,3847,Kering Tempe
1,3847,Kering Tempe
1,3847,Kering Tempe
1,5655,Hamburger With Beef Patty HomeMade
1,5655,Hamburger With Beef Patty HomeMade
1,5655,Hamburger With Beef Patty HomeMade
1,6542,Sate Kambing Empuk dan No Amis
1,6542,Sate Kambing Empuk dan No Amis
1,6542,Sate Kambing Empuk dan No Amis
1,6542,Sate Kambing Empuk dan No Amis
1,6542,Sate Kambing Empuk dan No Amis
1,6705,KaLdu kambing sapi  ayam
1,6705,KaLdu kambing sapi  ayam
1,6705,KaLdu kambing sapi  ayam
1,6705,KaLdu kambing sapi  ayam
1,6705,KaLdu kambing sapi  ayam
1,7560,Krengseng Daging  Telur ala ala Bunda
1,7560,Krengseng Daging  Telur ala ala Bunda
1,7560,Krengseng Daging  Telur ala ala Bunda
1,9763,Bakso Sapi  Udang cah Paprika
1,9763,Bakso Sapi  Udang cah Paprika
1,11669,Udang Wayang
1,11669,Udang Wayang
1,1462,Chicken Veggie Rolade rolade ayam sayur menu diet no tepung no kulit
1,1462,Chicken Veggie Rolade rolade ayam sayur menu diet no tepung no kulit
1,1462,Chicken Veggie Rolade rolade ayam sayur menu diet no tepung no kulit
1,1462,Chicken Veggie Rolade rolade ayam sayur menu diet no tepung no kulit
1,1878,Botok ayam tanpa santan
1,1878,Botok ayam tanpa santan
1,1878,Botok ayam tanpa santan
1,1878,Botok ayam tanpa santan
1,2330,Ikan Asin Tempe Asam
1,7095,Gule kambing
1,7095,Gule kambing
1,7095,Gule kambing
1,8651,Tauco Ikan Nila
1,8651,Tauco Ikan Nila
1,8651,Tauco Ikan Nila
1,8651,Tauco Ikan Nila
1,8651,Tauco Ikan Nila
1,11046,Tumis udang kacang tempe simple
1,11476,Sambel udang pete kemangi
1,11476,Sambel udang pete kemangi
1,11476,Sambel udang pete kemangi
1,11476,Sambel udang pete kemangi
1,11476,Sambel udang pete kemangi
1,13329,Pare Dadar Telur
1,13329,Pare Dadar Telur
1,13329,Pare Dadar Telur
1,13329,Pare Dadar Telur
1,13329,Pare Dadar Telur
1,14148,Sawi tahu bakso ikan
1,14148,Sawi tahu bakso ikan
1,14148,Sawi tahu bakso ikan
1,14148,Sawi tahu bakso ikan
1,3749,Tumis Buncis Tempe
1,3749,Tumis Buncis Tempe
1,3749,Tumis Buncis Tempe
1,3749,Tumis Buncis Tempe
1,3749,Tumis Buncis Tempe
1,9549,Gulai Ikan Tongkol
1,9549,Gulai Ikan Tongkol
1,9549,Gulai Ikan Tongkol
1,11369,Udang Tahu Cabai Garam
1,11369,Udang Tahu Cabai Garam
1,11369,Udang Tahu Cabai Garam
1,11369,Udang Tahu Cabai Garam
1,13222,Telor dadar mantap
1,13222,Telor dadar mantap
1,2061,Tempe Jeletot
1,2061,Tempe Jeletot
1,2061,Tempe Jeletot
1,2061,Tempe Jeletot
1,3510,Gimbal tempe menjesgembos
1,5859,Sup daging sapi
1,6563,Krengsengan daging kambing kitaberbagi
1,7686,Balado praktis sambal daging
1,7686,Balado praktis sambal daging
1,7686,Balado praktis sambal daging
1,7686,Balado praktis sambal daging
1,7686,Balado praktis sambal daging
1,7766,Ikan Patin pedas manis
1,7766,Ikan Patin pedas manis
1,7766,Ikan Patin pedas manis
1,7766,Ikan Patin pedas manis
1,7766,Ikan Patin pedas manis
1,7997,Ikan mujaer bumbu kuning
1,7997,Ikan mujaer bumbu kuning
1,7997,Ikan mujaer bumbu kuning
1,7997,Ikan mujaer bumbu kuning
1,8562,Nila asam manis pedasberanibaking
1,8562,Nila asam manis pedasberanibaking
1,8562,Nila asam manis pedasberanibaking
1,8562,Nila asam manis pedasberanibaking
1,8562,Nila asam manis pedasberanibaking
1,10412,Oseng udang tanpa cabe
1,14679,Tahu genjrot
1,1087,Ayam Bumbu Pedas
1,1087,Ayam Bumbu Pedas
1,1087,Ayam Bumbu Pedas
1,5765,Sempol daging sapi
1,5765,Sempol daging sapi
1,5765,Sempol daging sapi
1,7018,Tongseng kambing ga Ribet
1,7896,Somay ikan tuna
1,7896,Somay ikan tuna
1,7896,Somay ikan tuna
1,7896,Somay ikan tuna
1,11174,Goreng udang guriiiih
1,12015,Telur ceplok bumbu kecap
1,12015,Telur ceplok bumbu kecap
1,12015,Telur ceplok bumbu kecap
1,12015,Telur ceplok bumbu kecap
1,14016,Tumis kacang panjang kekyan tahu tempe
1,14176,Gulai rebung tahu
1,14176,Gulai rebung tahu
1,14867,Tumis Tahu Sawi Putih
1,14867,Tumis Tahu Sawi Putih
1,14867,Tumis Tahu Sawi Putih
1,14867,Tumis Tahu Sawi Putih
